score,physics_rank
700,27
699,35
698,39
697,45
696,57
695,71
694,85
693,96
692,111
691,124
690,142
689,161
688,181
687,200
686,227
685,254
684,292
683,334
682,362
681,402
680,452
679,490
678,533
677,594
676,642
675,707
674,781
673,836
672,911
671,984
670,1067
669,1158
668,1242
667,1354
666,1465
665,1563
664,1655
663,1781
662,1901
661,2040
660,2194
659,2373
658,2525
657,2696
656,2873
655,3041
654,3231
653,3427
652,3629
651,3859
650,4084
649,4334
648,4580
647,4828
646,5092
645,5344
644,5620
643,5886
642,6183
641,6483
640,6801
639,7123
638,7427
637,7792
636,8155
635,8537
634,8902
633,9275
632,9665
631,10057
630,10462
629,10911
628,11328
627,11762
626,12228
625,12681
624,13141
623,13603
622,14084
621,14553
620,15025
619,15515
618,16015
617,16551
616,17054
615,17632
614,18162
613,18705
612,19266
611,19897
610,20481
609,21078
608,21725
607,22387
606,23073
605,23747
604,24423
603,25107
602,25782
601,26466
600,27168
599,27936
598,28645
597,29391
596,30114
595,30887
594,31658
593,32447
592,33230
591,34041
590,34871
589,35719
588,36589
587,37450
586,38271
585,39148
584,40023
583,40917
582,41834
581,42697
580,43608
579,44461
578,45403
577,46325
576,47337
575,48296
574,49256
573,50228
572,51255
571,52280
570,53270
569,54263
568,55296
567,56368
566,57381
565,58397
564,59430
563,60462
562,61558
561,62684
560,63777
559,64880
558,66000
557,67188
556,68260
555,69390
554,70553
553,71751
552,72916
551,74091
550,75242
549,76459
548,77623
547,78852
546,80087
545,81228
544,82508
543,83729
542,85016
541,86301
540,87519
539,88797
538,90069
537,91362
536,92631
535,93888
534,95185
533,96505
532,97842
531,99185
530,100548
529,101889
528,103235
527,104565
526,105947
525,107275
524,108630
523,110005
522,111410
521,112735
520,114125
519,115553
518,116901
517,118325
516,119692
515,121146
514,122489
513,123877
512,125296
511,126752
510,128171
509,129612
508,131054
507,132502
506,133915
505,135350
504,136866
503,138327
502,139831
501,141257
500,142705
499,144150
498,145594
497,147047
496,148596
495,150107
494,151565
493,153050
492,154541
491,155999
490,157532
489,159028
488,160506
487,162003
486,163476
485,164991
484,166487
483,168070
482,169543
481,171157
480,172660
479,174256
478,175813
477,177273
476,178758
475,180279
474,181861
473,183421
472,184984
471,186595
470,188132
469,189766
468,191254
467,192807
466,194316
465,195834
464,197411
463,199036
462,200604
461,202040
460,203631
459,205144
458,206746
457,208301
456,209904
455,211493
454,213082
453,214608
452,216153
451,217748
450,219271
449,220805
448,222274
447,223791
446,225322
445,226941
444,228519
443,230009
442,231520
441,233113
440,234634
439,236099
438,237622
437,239124
436,240643
435,242124
434,243578
433,245073
432,246620
431,248122
430,249591
429,251047
428,252529
427,253997
426,255437
425,256896
424,258362
423,259770
422,261127
421,262579
420,264019
419,265431
418,266767
417,268085
416,269525
415,270891
414,272235
413,273625
412,275015
411,276370
410,277661
409,279015
408,280369
407,281635
406,282890
405,284197
404,285530
403,286832
402,288144
401,289469
400,290715
399,291892
398,293139
397,294428
396,295682
395,296924
394,298151
393,299338
392,300512
391,301695
390,302932
389,304112
388,305330
387,306465
386,307548
385,308649
384,309809
383,310867
382,311992
381,313067
380,314150
379,315262
378,316317
377,317417
376,318529
375,319529
374,320550
373,321562
372,322610
371,323623
370,324589
369,325648
368,326669
367,327643
366,328601
365,329588
364,330515
363,331472
362,332404
361,333305
360,334246
359,335163
358,336110
357,337050
356,337923
355,338760
354,339672
353,340493
352,341374
351,342182
350,343111
349,344003
348,344826
347,345636
346,346434
345,347265
344,348085
343,348854
342,349713
341,350518
340,351333
339,352089
338,352898
337,353619
336,354312
335,355046
334,355807
333,356553
332,357266
331,358007
330,358714
329,359414
328,360133
327,360806
326,361490
325,362190
324,362863
323,363547
322,364171
321,364835
320,365468
319,366118
318,366795
317,367402
316,368045
315,368687
314,369298
313,369898
312,370508
311,371154
310,371758
309,372369
308,372956
307,373569
306,374139
305,374717
304,375241
303,375777
302,376326
301,376919
300,377467
299,378016
298,378557
297,379102
296,379635
295,380152
294,380680
293,381228
292,381752
291,382228
290,382700
289,383192
288,383689
287,384116
286,384611
285,385093
284,385581
283,386039
282,386465
281,386965
280,387445
279,387931
278,388416
277,388851
276,389264
275,389708
274,390149
273,390553
272,390985
271,391361
270,391780
269,392170
268,392585
267,392976
266,393347
265,393716
264,394112
263,394501
262,394884
261,395272
260,395593
259,395964
258,396326
257,396660
256,396981
255,397309
254,397602
253,397922
252,398241
251,398548
250,398891
249,399173
248,399476
247,399743
246,400003
245,400314
244,400602
243,400873
242,401142
241,401411
240,401668
239,401924
238,402174
237,402396
236,402602
235,402827
234,403036
233,403271
232,403465
231,403652
230,403843
229,404016
228,404205
227,404395
226,404553
225,404705
224,404857
223,405013
222,405153
221,405303
220,405451
219,405592
218,405724
217,405843
216,405957
215,406084
214,406196
213,406306
212,406403
211,406513
210,406604
209,406720
208,406815
207,406922
206,407001
205,407093
204,407165
203,407237
202,407328
201,407393
200,407464
199,407543
198,407614
197,407674
196,407726
195,407787
194,407857
193,407912
192,407957
191,408005
190,408069
189,408117
188,408167
187,408223
186,408275
185,408321
184,408362
183,408394
182,408446
181,408476
180,408515
179,408554
178,408609
177,408655
176,408687
175,408717
174,408735
173,408761
172,408791
171,408818
170,408842
169,408869
168,408892
167,408915
166,408930
165,408954
164,408980
163,409000
162,409019
161,409040
160,409061
159,409077
158,409100
157,409122
156,409142
155,409149
154,409166
153,409183
152,409201
151,409218
150,409227
149,409237
148,409251
147,409261
146,409274
145,409288
144,409302
143,409310
142,409322
141,409337
140,409347
139,409360
138,409367
137,409376
136,409381
135,409393
134,409401
133,409411
132,409422
131,409429
130,409437
129,409442
128,409446
127,409456
126,409463
125,409469
124,409475
123,409480
122,409486
121,409495
120,409498
119,409504
118,409512
117,409513
116,409518
115,409523
114,409527
113,409530
112,409534
111,409541
110,409544
109,409554
108,409558
107,409562
106,409567
105,409574
104,409579
103,409588
102,409590
101,409599
100,409604
